building_count,divipola,source,name,department,total_rooftop_sqm,mean_area_sqm,min_confidence_used,computed_at,median_area_sqm
15574,18150,google,CARTAGENA DEL CHAIRÁ,CAQUETÁ,1793697.37,115.17,,2026-05-24T02:58:48+00:00,75.06
14701,05604,google,REMEDIOS,ANTIOQUIA,1065154.86,72.45,,2026-05-24T02:58:48+00:00,54.27
171908,20001,google,VALLEDUPAR,CESAR,15411306.86,89.65,,2026-05-24T02:58:48+00:00,55.96
11202,18592,google,PUERTO RICO,CAQUETÁ,1207624.46,107.8,,2026-05-24T02:58:48+00:00,71.15
41240,19130,google,CAJIBÍO,CAUCA,2577303.38,62.5,,2026-05-24T02:58:48+00:00,42.19
16479,23580,google,PUERTO LIBERTADOR,CÓRDOBA,1258487.16,76.37,,2026-05-24T02:58:48+00:00,57.51
527,52520,google,FRANCISCO PIZARRO,NARIÑO,32771.06,62.18,,2026-05-24T02:58:48+00:00,56.53
2429,18479,google,MORELIA,CAQUETÁ,278490.09,114.65,,2026-05-24T02:58:48+00:00,77.42
5854,52405,google,LEIVA,NARIÑO,381316.0,65.14,,2026-05-24T02:58:48+00:00,51.17
33093,05490,google,NECOCLÍ,ANTIOQUIA,2406266.19,72.71,,2026-05-24T02:58:48+00:00,56.64
5,27745,google,SIPÍ,CHOCÓ,209.8,41.96,,2026-05-24T02:58:48+00:00,10.73
53,52612,google,RICAURTE,NARIÑO,1820.22,34.34,,2026-05-24T02:58:48+00:00,23.92
13193,54720,google,SARDINATA,NORTE DE SANTANDER,1096451.69,83.11,,2026-05-24T02:58:48+00:00,63.02
104324,76109,google,BUENAVENTURA,VALLE DEL CAUCA,7701466.61,73.82,,2026-05-24T02:58:48+00:00,52.18
4949,18860,google,VALPARAÍSO,CAQUETÁ,538853.79,108.88,,2026-05-24T02:58:48+00:00,76.27
13029,19110,google,BUENOS AIRES,CAUCA,1051282.53,80.69,,2026-05-24T02:58:48+00:00,64.54
6775,27361,google,ISTMINA,CHOCÓ,670708.48,99.0,,2026-05-24T02:58:48+00:00,75.5
6051,20443,google,MANAURE BALCÓN DEL CESAR,CESAR,472571.51,78.1,,2026-05-24T02:58:48+00:00,58.21
15618,13670,google,SAN PABLO,BOLÍVAR,1120845.22,71.77,,2026-05-24T02:58:48+00:00,53.11
18927,13688,google,SANTA ROSA DEL SUR,BOLÍVAR,1493259.12,78.9,,2026-05-24T02:58:48+00:00,57.83
10961,13744,google,SIMITÍ,BOLÍVAR,838468.0,76.5,,2026-05-24T02:58:48+00:00,53.46
3589,18460,google,MILÁN,CAQUETÁ,357681.49,99.66,,2026-05-24T02:58:48+00:00,69.43
1264,52490,google,OLAYA HERRERA,NARIÑO,76176.64,60.27,,2026-05-24T02:58:48+00:00,51.31
32767,54810,google,TIBÚ,NORTE DE SANTANDER,2647485.66,80.8,,2026-05-24T02:58:48+00:00,59.65
1350,73616,google,RIOBLANCO,TOLIMA,104135.5,77.14,,2026-05-24T02:58:48+00:00,58.02
43200,19256,google,EL TAMBO,CAUCA,2708770.8,62.7,,2026-05-24T02:58:48+00:00,45.88
35527,19698,google,SANTANDER DE QUILICHAO,CAUCA,3849220.83,108.35,,2026-05-24T02:58:48+00:00,75.39
13975,76275,google,FLORIDA,VALLE DEL CAUCA,1658534.55,118.68,,2026-05-24T02:58:48+00:00,89.25
3780,50370,google,URIBE,META,321543.88,85.06,,2026-05-24T02:58:48+00:00,47.53
3559,05107,google,BRICEÑO,ANTIOQUIA,209165.02,58.77,,2026-05-24T02:58:48+00:00,39.22
18024,19532,google,PATÍA,CAUCA,1502230.52,83.35,,2026-05-24T02:58:48+00:00,62.33
34742,20013,google,AGUSTÍN CODAZZI,CESAR,2714675.83,78.14,,2026-05-24T02:58:48+00:00,55.52
13265,76563,google,PRADERA,VALLE DEL CAUCA,1672760.88,126.1,,2026-05-24T02:58:48+00:00,82.98
4728,13160,google,CANTAGALLO,BOLÍVAR,333868.41,70.62,,2026-05-24T02:58:48+00:00,53.16
27016,47288,google,FUNDACIÓN,MAGDALENA,2247881.04,83.21,,2026-05-24T02:58:48+00:00,58.34
24548,70713,google,SAN ONOFRE,SUCRE,1691642.46,68.91,,2026-05-24T02:58:48+00:00,55.82
27625,81736,google,SARAVENA,ARAUCA,2191193.46,79.32,,2026-05-24T02:58:48+00:00,58.56
28650,44650,google,SAN JUAN DEL CESAR,LA GUAJIRA,2028816.39,70.81,,2026-05-24T02:58:48+00:00,48.05
14338,54206,google,CONVENCIÓN,NORTE DE SANTANDER,1118093.21,77.98,,2026-05-24T02:58:48+00:00,57.85
4909,18610,google,SAN JOSÉ DEL FRAGUA,CAQUETÁ,493825.4,100.6,,2026-05-24T02:58:48+00:00,74.35
6484,95015,google,CALAMAR,GUAVIARE,577964.98,89.14,,2026-05-24T02:58:48+00:00,55.44
31395,19548,google,PIENDAMÓ,CAUCA,2714881.37,86.47,,2026-05-24T02:58:48+00:00,55.13
2999,05031,google,AMALFI,ANTIOQUIA,186203.93,62.09,,2026-05-24T02:58:48+00:00,38.14
15086,05736,google,SEGOVIA,ANTIOQUIA,1111732.9,73.69,,2026-05-24T02:58:48+00:00,55.08
15755,05147,google,CAREPA,ANTIOQUIA,1639457.78,104.06,,2026-05-24T02:58:48+00:00,69.15
12575,41020,google,ALGECIRAS,HUILA,1162587.19,92.45,,2026-05-24T02:58:48+00:00,63.66
15441,20570,google,PUEBLO BELLO,CESAR,972145.9,62.96,,2026-05-24T02:58:48+00:00,39.68
3652,95200,google,MIRAFLORES,GUAVIARE,317824.23,87.03,,2026-05-24T02:58:48+00:00,61.27
6007,13894,google,ZAMBRANO,BOLÍVAR,441469.21,73.49,,2026-05-24T02:58:48+00:00,54.75
10727,05893,google,YONDÓ,ANTIOQUIA,892641.4,83.21,,2026-05-24T02:58:48+00:00,59.31
5360,52233,google,CUMBITARA,NARIÑO,356762.36,66.56,,2026-05-24T02:58:48+00:00,52.21
7616,52540,google,POLICARPA,NARIÑO,503708.04,66.14,,2026-05-24T02:58:48+00:00,52.85
5405,18094,google,BELÉN DE LOS ANDAQUÍES,CAQUETÁ,581081.92,107.51,,2026-05-24T02:58:48+00:00,74.73
16351,70508,google,OVEJAS,SUCRE,1058734.41,64.75,,2026-05-24T02:58:48+00:00,51.89
5070,52250,google,EL CHARCO,NARIÑO,361321.15,71.27,,2026-05-24T02:58:48+00:00,61.29
13609,19050,google,ARGELIA,CAUCA,973614.78,71.54,,2026-05-24T02:58:48+00:00,53.28
9303,50590,google,PUERTO RICO,META,750545.13,80.68,,2026-05-24T02:58:48+00:00,54.82
6440,70204,google,COLOSO,SUCRE,413000.53,64.13,,2026-05-24T02:58:48+00:00,54.0
6750,54344,google,HACARÍ,NORTE DE SANTANDER,494043.58,73.19,,2026-05-24T02:58:48+00:00,56.89
10426,95025,google,EL RETORNO,GUAVIARE,866115.45,83.07,,2026-05-24T02:58:48+00:00,57.24
18812,05172,google,CHIGORODÓ,ANTIOQUIA,1875370.21,99.69,,2026-05-24T02:58:48+00:00,73.68
15245,19137,google,CALDONO,CAUCA,1231769.88,80.8,,2026-05-24T02:58:48+00:00,61.03
